gene_id	biotype	product
WBGene00268217	protein_coding	NA
WBGene00221865	protein_coding	NA
WBGene00269440	pseudogene	NA
WBGene00269441	pseudogene	NA
WBGene00229724	protein_coding	CTP synthase, putative
WBGene00269442	pseudogene	NA
WBGene00269443	pseudogene	NA
WBGene00229725	protein_coding	NA
WBGene00220356	protein_coding	NA
WBGene00268218	protein_coding	NA
WBGene00268219	protein_coding	NA
WBGene00269444	pseudogene	NA
WBGene00229727	protein_coding	30S ribosomal protein S11, putative
WBGene00269445	pseudogene	NA
WBGene00269446	pseudogene	NA
WBGene00269447	pseudogene	NA
WBGene00269448	pseudogene	NA
WBGene00269449	pseudogene	NA
WBGene00269450	pseudogene	NA
WBGene00269451	pseudogene	NA
WBGene00269452	pseudogene	NA
WBGene00269453	pseudogene	NA
WBGene00269454	pseudogene	NA
WBGene00269455	pseudogene	NA
WBGene00269456	pseudogene	NA
WBGene00269457	pseudogene	NA
WBGene00269458	pseudogene	NA
WBGene00269459	pseudogene	NA
WBGene00269460	pseudogene	NA
WBGene00269461	pseudogene	NA
WBGene00269462	pseudogene	NA
WBGene00269463	pseudogene	NA
WBGene00269464	pseudogene	NA
WBGene00268220	protein_coding	NA
WBGene00269466	pseudogene	NA
WBGene00269467	pseudogene	NA
WBGene00229730	protein_coding	NA
WBGene00269471	pseudogene	NA
WBGene00229731	protein_coding	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase, putative
WBGene00269472	pseudogene	NA
WBGene00269473	pseudogene	NA
WBGene00269475	pseudogene	NA
WBGene00269476	pseudogene	NA
WBGene00269477	pseudogene	NA
WBGene00269478	pseudogene	NA
WBGene00268221	protein_coding	NA
WBGene00269479	pseudogene	NA
WBGene00268222	protein_coding	NA
WBGene00230151	protein_coding	NA
WBGene00221582	protein_coding	NA
WBGene00230150	protein_coding	NA
WBGene00222171	protein_coding	Leucine Rich Repeat family protein
WBGene00233418	protein_coding	NA
WBGene00220719	protein_coding	NA
WBGene00221732	protein_coding	NA
WBGene00228444	protein_coding	Zinc finger, C2H2 type family protein
WBGene00225557	protein_coding	Homeobox domain containing protein
WBGene00231024	protein_coding	Zinc finger, C2H2 type family protein
WBGene00255410	protein_coding	NA
WBGene00268223	protein_coding	NA
WBGene00225688	protein_coding	NA
WBGene00223455	protein_coding	MGC52693 protein, putative
WBGene00223404	protein_coding	Ctr copper transporter family protein
WBGene00224004	protein_coding	Vacuolar assembly protein VPS41 homolog, putative
WBGene00255558	protein_coding	NA
WBGene00224995	protein_coding	zgc:91831, putative
WBGene00221134	ncRNA	NA
WBGene00223915	protein_coding	oxidoreductase, short chain dehydrogenase\/reductase family protein
WBGene00269256	protein_coding	NA
WBGene00224800	protein_coding	Probable DNA-directed RNA polymerases I\/III 16 kDa polypeptide, putative
WBGene00234103	protein_coding	Tubulin gamma chain, putative
WBGene00231025	protein_coding	Zinc finger, C2H2 type family protein
WBGene00234180	protein_coding	Ubiquitin carboxyl-terminal hydrolase family protein
WBGene00225744	protein_coding	Undecaprenyl diphosphate synthase family protein
WBGene00227399	protein_coding	CG8090-PA, putative
WBGene00234980	protein_coding	CG8090-PA, putative
WBGene00231026	protein_coding	NA
WBGene00268224	protein_coding	NA
WBGene00268225	protein_coding	NA
WBGene00233006	protein_coding	GH04568p, putative
WBGene00228442	protein_coding	NA
WBGene00232140	protein_coding	NA
WBGene00224244	protein_coding	AMP-binding enzyme family protein
WBGene00227414	protein_coding	NA
WBGene00224439	protein_coding	Acyl CoA binding protein
WBGene00231030	protein_coding	NA
WBGene00232890	protein_coding	Transcription initiation factor TFIID subunit 6, putative
WBGene00221235	protein_coding	NA
WBGene00226642	protein_coding	Conserved hypothetical protein, putative
WBGene00231031	protein_coding	NA
WBGene00224497	protein_coding	conserved hypothetical protein,hypothetical protein
WBGene00222858	protein_coding	conserved hypothetical protein
WBGene00231032	protein_coding	Zinc finger, C2H2 type family protein
WBGene00227339	protein_coding	protein phosphatase 2A, regulatory subunit B, putative
WBGene00227016	protein_coding	NA
WBGene00221733	ncRNA	NA
WBGene00227353	protein_coding	NA
WBGene00232991	protein_coding	NA
WBGene00233015	protein_coding	NA
WBGene00231034	protein_coding	Helix-loop-helix DNA-binding domain containing protein
WBGene00225046	protein_coding	conserved hypothetical protein,hypothetical protein
WBGene00225028	protein_coding	conserved hypothetical protein
